Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34673040,University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting,Daniel  Pecaut,"Pecaut, Daniel",Corey Wrenn,"=""""","=""""",0,4.28,Pecaut and Company,Kindle Edition,338,2017,2017,,2018/11/22,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",0,4.45,Doubleday Canada,Hardcover,304,2016,2016,,2018/11/22,,,read,,,,1,,,0,,,,,
7822186,The Incredible Bread Machine,Susan Love Brown,"Brown, Susan Love","Karl Keating, David Mellinger, Patrea Post, Stuart Smith, Catriona Tudor","=""0378039822""","=""9780378039826""",0,4.20,World Research Inc.,Paperback,192,1974,1974,,2018/11/22,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,3.77,HarperTorch,Mass Market Paperback,540,2006,1974,,2018/11/22,,,read,,,,1,,,0,,,,,
5479,Brave New World / Brave New World Revisited,Aldous Huxley,"Huxley, Aldous",Christopher Hitchens,"=""0060776099""","=""9780060776091""",0,4.17,Harper Perennial Modern Classics,Paperback,340,2005,1932,,2018/11/22,,,read,,,,1,,,0,,,,,
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.10,Viking,Hardcover,487,2011,2011,,2018/11/22,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
835623,How the Mind Works,Steven Pinker,"Pinker, Steven",,"=""0393318486""","=""9780393318487""",0,3.97,W. W. Norton  Company,Paperback,660,1999,1997,,2018/11/22,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
222146,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",,"=""0812972155""","=""9780812972153""",0,4.25,Random House Trade Paperbacks,Paperback,339,2004,2003,,2018/11/22,,,read,,,,1,,,0,,,,,
101446,Armchair Economist: Economics & Everyday Life,Steven E. Landsburg,"Landsburg, Steven E.",,"=""0029177766""","=""9780029177761""",0,3.77,Free Press,Paperback,251,1995,1993,,2018/11/22,,,read,,,,1,,,0,,,,,
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,"=""046509760X""","=""9780465097609""",0,4.00,Basic Books,Hardcover,432,2018,2018,,2018/11/22,,,read,,,,1,,,0,,,,,
17978134,A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,Warren Berger,"Berger, Warren",,"=""""","=""""",0,4.03,Bloomsbury USA,Hardcover,272,2014,2014,,2018/11/22,,,read,,,,1,,,0,,,,,
900892,A Random Walk Down Wall Street,Burton G. Malkiel,"Malkiel, Burton G.",,"=""0393325350""","=""9780393325355""",0,4.08,W. W. Norton  Company,Paperback,464,2004,1973,,2018/11/22,,,read,,,,1,,,0,,,,,
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",0,4.15,W. W. Norton  Company,Paperback,310,2010,1989,,2018/11/22,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
35631386,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"Lewis, Michael",,"=""0393354776""","=""9780393354775""",0,3.98,W. W. Norton  Company,Paperback,368,2017,2016,,2018/11/22,,,read,,,,1,,,0,,,,,
40109421,The Fifth Risk,Michael   Lewis,"Lewis, Michael",,"=""1324002646""","=""9781324002642""",0,4.07,W. W. Norton  Company,Hardcover,219,2018,2018,,2018/11/22,,,read,,,,1,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",0,4.48,Knopf Publishing Group,Hardcover,299,2018,2018,,2018/11/22,,,read,,,,1,,,0,,,,,
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,"=""0684818868""","=""9780684818863""",5,3.96,Touchstone Books,Paperback,383,1996,1995,,2018/11/22,,,read,,,,1,,,0,,,,,
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""1595581030""","=""9781595581037""",5,4.52,The New Press,Hardcover,290,2010,2010,,2018/11/22,,,read,,,,1,,,0,,,,,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,"=""0143036556""","=""9780143036555""",4,3.93,Penguin Books Ltd. (London),Paperback,608,2005,2004,,2018/11/22,,,read,,,,1,,,0,,,,,
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",3,3.93,"Little, Brown and Company",Hardcover,305,2013,2009,,2018/11/22,,,read,,,,1,,,0,,,,,
16071764,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Sandberg, Sheryl",Nell Scovell,"=""0385349947""","=""9780385349949""",4,3.95,Knopf,Hardcover,217,2013,2013,,2018/11/22,,,read,,,,1,,,0,,,,,
2767,A People's History of the United States,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",5,4.08,Harper Perennial,Paperback,729,2005,1980,,2018/11/22,,,read,,,,1,,,0,,,,,
23453112,Modern Romance,Aziz Ansari,"Ansari, Aziz",Eric Klinenberg,"=""1594206279""","=""9781594206276""",4,3.83,Penguin Press,Hardcover,279,2015,2015,,2018/11/22,,,read,,,,1,,,0,,,,,
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",5,3.91,W. W. Norton  Company,Paperback,282,2014,2012,,2018/11/22,,,read,,,,1,,,0,,,,,
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,"=""014311526X""","=""9780143115267""",5,3.83,Penguin Books,Paperback,314,2009,2008,,2018/11/22,,,read,,,,1,,,0,,,,,
9628743,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David  Brooks,"Brooks, David",,"=""140006760X""","=""9781400067602""",4,3.85,Random House,Hardcover,424,2011,2011,,2018/11/22,,,read,,,,1,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",5,3.98,Penguin,Hardcover,534,2012,2012,,2018/11/22,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.13,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2018/11/22,,,read,,,,1,,,0,,,,,
10587120,Killing Lincoln: The Shocking Assassination that Changed America Forever (The Killing of Historical Figures),Bill O'Reilly,"O'Reilly, Bill",Martin Dugard,"=""0805093079""","=""9780805093070""",1,4.03,Henry Holt & Company,Hardcover,324,2011,2011,,2018/11/22,,,read,,,,1,,,0,,,,,
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",5,4.02,W.W. Norton & Company,Paperback,425,2005,1997,,2018/11/22,,,read,,,,1,,,0,,,,,
4122,Built to Last: Successful Habits of Visionary Companies,James C. Collins,"Collins, James C.",Jerry I. Porras,"=""0060566108""","=""9780060566104""",5,3.98,HarperBusiness,Hardcover,368,2004,1994,,2018/11/22,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",4,3.95,Back Bay Books,Paperback,301,2002,2000,,2018/11/22,,,read,,,,1,,,0,,,,,
9418327,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",5,3.95,Reagan Arthur Books,Kindle Edition,283,2011,2011,,2018/11/22,,,read,,,,1,,,0,,,,,
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316078573""","=""9780316078573""",3,3.84,"Little, Brown and Company",Hardcover,444,2009,2009,,2018/11/22,,,read,,,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",4,3.95,William Morrow,Hardcover,320,2006,2005,,2018/11/22,,,read,,,,1,,,0,,,,,
